body_site	days	p	c	o	f	g	s	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Arthrobacter	s_	FALSE	0.893	0.14	0.354	0.462	0.184
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Micrococcus	-	TRUE	0.88	0.767	0.332	0.506	0.162
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Rothia	s_mucilaginosa	TRUE	0.959	0.302	0.515	0.366	0.119
Forearm	120	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_[Weeksellaceae]	g_	s_	FALSE	0.97	0.14	0.354	0.567	0.079
Forearm	120	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_[Weeksellaceae]	g_Chryseobacterium	s_	FALSE	0.898	0.186	0.479	0.348	0.172
Forearm	120	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.98	0.465	0.441	0.44	0.119
Forearm	120	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.967	0.465	0.372	0.515	0.113
Forearm	120	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Peptoniphilus	s_	TRUE	0.945	0.116	0.351	0.53	0.119
Forearm	120	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_[Ruminococcus]	s_gnavus	FALSE	0.89	0.279	0.355	0.458	0.187
Forearm	120	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Veillonellaceae	g_Dialister	s_	TRUE	0.998	0.14	0.486	0.466	0.048
Forearm	120	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_	s_	FALSE	0.932	0.163	0.343	0.533	0.124
Forearm	120	p_Proteobacteria	c_Alphaproteobacteria	o_Rhizobiales	f_Rhizobiaceae	-	-	FALSE	0.903	0.302	0.339	0.508	0.153
Forearm	120	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Oxalobacteraceae	g_Massilia	-	FALSE	0.919	0.186	0.357	0.481	0.162
Forearm	120	p_Proteobacteria	c_Betaproteobacteria	o_Neisseriales	f_Neisseriaceae	g_	s_	TRUE	0.966	0.535	0.36	0.542	0.098
Forearm	120	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	s_rhizosphaerae	FALSE	0.94	0.302	0.466	0.377	0.157
Forearm	180	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_	FALSE	0.92	0.395	0.417	0.395	0.188
Forearm	180	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	-	FALSE	0.967	0.163	0.422	0.436	0.143
Forearm	180	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Mycobacteriaceae	g_Mycobacterium	s_llatzerense	FALSE	0.955	0.163	0.357	0.525	0.118
Forearm	180	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_melaninogenica	FALSE	0.96	0.14	0.365	0.514	0.121
Forearm	180	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_[Weeksellaceae]	g_Chryseobacterium	s_	FALSE	0.929	0.302	0.329	0.572	0.099
Forearm	180	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_Flavobacteriaceae	g_Capnocytophaga	s_	FALSE	0.963	0.163	0.397	0.461	0.142
Forearm	180	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Aerococcaceae	g_Aerococcus	s_	FALSE	0.949	0.372	0.456	0.388	0.156
Forearm	180	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Lactococcus	s_	FALSE	0.919	0.349	0.435	0.381	0.185
Forearm	180	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.941	0.233	0.399	0.431	0.17
Forearm	180	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Clostridiaceae	g_Clostridium	-	FALSE	0.95	0.116	0.357	0.516	0.127
Forearm	180	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	g_Faecalibacterium	s_prausnitzii	TRUE	0.942	0.14	0.373	0.471	0.156
Forearm	180	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Veillonellaceae	g_Veillonella	s_	FALSE	0.978	0.186	0.416	0.46	0.124
Forearm	180	p_Firmicutes	c_Erysipelotrichi	o_Erysipelotrichales	f_Erysipelotrichaceae	g_Clostridium	s_ramosum	FALSE	0.923	0.186	0.328	0.568	0.105
Forearm	180	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_	FALSE	0.95	0.186	0.337	0.578	0.085
Forearm	180	p_Proteobacteria	c_Alphaproteobacteria	o_Rhizobiales	f_Methylobacteriaceae	g_Methylobacterium	-	FALSE	0.992	0.14	0.386	0.558	0.055
Forearm	180	p_Proteobacteria	c_Alphaproteobacteria	o_Rhizobiales	f_Methylobacteriaceae	g_Methylobacterium	s_adhaesivum	FALSE	0.955	0.209	0.341	0.574	0.085
Forearm	180	p_Proteobacteria	c_Alphaproteobacteria	o_Rhizobiales	f_Rhizobiaceae	-	-	FALSE	0.946	0.419	0.456	0.386	0.158
Forearm	180	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Alcaligenaceae	g_Achromobacter	s_	FALSE	0.981	0.233	0.455	0.426	0.119
Forearm	180	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Comamonadaceae	-	-	FALSE	0.965	0.116	0.115	0.017	0.868
Forearm	180	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	s_	FALSE	0.987	0.233	0.384	0.541	0.075
Mouth	2	p_[Thermi]	c_Deinococci	o_Deinococcales	f_Deinococcaceae	g_Deinococcus	s_geothermalis	TRUE	0.891	0.145	0.308	0.627	0.065
Mouth	2	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Rothia	s_mucilaginosa	FALSE	0.925	0.539	0.318	0.628	0.054
Mouth	2	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Rothia	s_mucilaginosa	TRUE	0.916	0.303	0.443	0.377	0.18
Mouth	2	p_Actinobacteria	c_Actinobacteria	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Gardnerella	s_	TRUE	0.853	0.158	0.305	0.586	0.109
Mouth	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_uniformis	TRUE	0.885	0.118	0.325	0.535	0.14
Mouth	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_	TRUE	0.862	0.184	0.306	0.593	0.101
Mouth	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_melaninogenica	TRUE	0.88	0.276	0.362	0.436	0.202
Mouth	2	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_[Weeksellaceae]	g_	s_	FALSE	0.865	0.118	0.308	0.585	0.107
Mouth	2	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_iners	TRUE	0.927	0.355	0.408	0.414	0.178
Mouth	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_WAL_1855D	s_	TRUE	0.923	0.105	0.38	0.445	0.175
Mouth	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Veillonellaceae	g_Veillonella	s_	FALSE	0.875	0.118	0.435	0.36	0.205
Mouth	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Veillonellaceae	g_Veillonella	s_parvula	TRUE	0.813	0.316	0.3	0.563	0.138
Mouth	2	p_Proteobacteria	c_Alphaproteobacteria	o_Sphingomonadales	f_Sphingomonadaceae	g_Sphingobium	s_xenophagum	TRUE	0.813	0.132	0.153	0.09	0.757
Mouth	2	p_Proteobacteria	c_Betaproteobacteria	o_Neisseriales	f_Neisseriaceae	g_Neisseria	-	TRUE	0.843	0.658	0.401	0.367	0.232
Mouth	2	p_Proteobacteria	c_Gammaproteobacteria	o_Enterobacteriales	f_Enterobacteriaceae	-	-	TRUE	0.931	0.408	0.373	0.465	0.162
Mouth	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Actinobacillus	-	FALSE	0.902	0.184	0.384	0.421	0.195
Mouth	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Haemophilus	s_parainfluenzae	TRUE	0.927	0.684	0.442	0.385	0.173
Mouth	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	s_guillouiae	FALSE	0.888	0.171	0.367	0.434	0.199
Mouth	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Enhydrobacter	s_	TRUE	0.903	0.237	0.128	0.06	0.811
Mouth	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Pseudomonadaceae	g_Pseudomonas	-	FALSE	0.817	0.105	0.369	0.383	0.248
Mouth	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_	FALSE	0.913	0.152	0.322	0.617	0.061
Mouth	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_	FALSE	0.831	0.152	0.165	0.037	0.798
Mouth	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Rothia	s_dentocariosa	FALSE	0.765	0.239	0.424	0.326	0.25
Mouth	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Micrococcaceae	g_Rothia	s_mucilaginosa	FALSE	0.802	0.543	0.302	0.555	0.143
Mouth	30	p_Actinobacteria	c_Actinobacteria	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Bifidobacterium	s_bifidum	FALSE	0.749	0.152	0.327	0.408	0.265
Mouth	30	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_[Paraprevotellaceae]	g_[Prevotella]	s_	TRUE	0.964	0.467	0.421	0.459	0.121
Mouth	30	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_	TRUE	0.782	0.109	0.335	0.418	0.247
Mouth	30	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_S24-7	g_	s_	FALSE	0.912	0.109	0.343	0.535	0.123
Mouth	30	p_Firmicutes	c_Bacilli	o_Bacillales	f_Bacillaceae	g_Geobacillus	-	TRUE	0.751	0.174	0.557	0.29	0.153
Mouth	30	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_	TRUE	0.925	0.424	0.371	0.482	0.147
Mouth	30	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_iners	TRUE	0.82	0.348	0.392	0.371	0.237
Mouth	30	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_	TRUE	0.828	0.652	0.445	0.341	0.214
Mouth	30	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Peptoniphilus	s_	TRUE	0.762	0.13	0.304	0.489	0.207
Mouth	30	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Blautia	s_	TRUE	0.753	0.12	0.42	0.323	0.258
Mouth	30	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Roseburia	s_faecis	TRUE	0.759	0.207	0.193	0.027	0.78
Mouth	30	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Veillonellaceae	g_Veillonella	s_	TRUE	0.803	0.728	0.45	0.329	0.221
Mouth	30	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Veillonellaceae	g_Veillonella	s_parvula	FALSE	0.919	0.207	0.123	0.036	0.841
Mouth	30	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Haemophilus	-	TRUE	0.964	0.62	0.37	0.547	0.083
Mouth	30	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Moraxella	s_lincolnii	FALSE	0.965	0.13	0.396	0.495	0.109
Mouth	30	p_Verrucomicrobia	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Verrucomicrobiaceae	g_Akkermansia	s_muciniphila	FALSE	0.95	0.109	0.435	0.426	0.139
Mouth	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	s_	FALSE	0.763	0.17	0.328	0.418	0.254
Mouth	120	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_melaninogenica	TRUE	0.871	0.617	0.342	0.472	0.186
Mouth	120	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_pallens	FALSE	0.797	0.149	0.334	0.43	0.235
Mouth	120	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_S24-7	g_	s_	FALSE	0.952	0.149	0.334	0.603	0.063
Mouth	120	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Aerococcaceae	g_Alloiococcus	s_	FALSE	0.945	0.362	0.367	0.495	0.139
Mouth	120	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_	TRUE	0.927	0.298	0.348	0.515	0.137
Mouth	120	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_helveticus	TRUE	0.816	0.532	0.341	0.43	0.229
Mouth	120	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_WAL_1855D	s_	TRUE	0.842	0.213	0.393	0.377	0.23
