Sampling Sites	Days	Taxonomy	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Mouth	120	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.unknown.asv_2599	TRUE	0.927	0.298	0.348	0.515	0.137
Mouth	120	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.helveticus.asv_314	TRUE	0.816	0.532	0.341	0.43	0.229
Mouth	120	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].WAL_1855D.unknown.asv_42	TRUE	0.842	0.213	0.393	0.377	0.23
Mouth	120	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Catonella.unknown.asv_913	FALSE	0.95	0.106	0.427	0.416	0.157
Mouth	120	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Allobaculum.unknown.asv_13292	FALSE	0.967	0.149	0.352	0.57	0.077
Mouth	120	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Allobaculum.unknown.asv_16466	FALSE	0.86	0.128	0.345	0.455	0.2
Mouth	120	Fusobacteria.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Fusobacterium.unknown.asv_718	FALSE	0.927	0.106	0.361	0.485	0.154
Mouth	120	Fusobacteria.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Fusobacterium.unknown.asv_163	FALSE	0.8	0.17	0.167	0.064	0.769
Mouth	120	Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiaceae.Lautropia.unknown.asv_289	FALSE	0.927	0.128	0.374	0.459	0.166
Mouth	120	Proteobacteria.Betaproteobacteria.Rhodocyclales.Rhodocyclaceae.unknown.unknown.asv_2672	FALSE	0.94	0.106	0.603	0.329	0.068
Mouth	120	Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Actinobacillus.unknown.asv_186	FALSE	0.939	0.128	0.135	0.009	0.856
Mouth	120	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.johnsonii.asv_226	FALSE	0.831	0.128	0.357	0.413	0.23
Mouth	120	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Moraxella.lincolnii.asv_3019	FALSE	0.847	0.213	0.312	0.551	0.137
Mouth	120	Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Verrucomicrobiaceae.Akkermansia.muciniphila.asv_734	FALSE	0.841	0.191	0.299	0.617	0.084
Mouth	180	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.unknown.asv_71	TRUE	0.981	0.244	0.379	0.555	0.066
Mouth	180	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.durum.asv_933	FALSE	0.874	0.133	0.342	0.484	0.174
Mouth	180	Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium.kroppenstedtii.asv_670	TRUE	0.88	0.267	0.331	0.524	0.145
Mouth	180	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.dentocariosa.asv_171	FALSE	0.825	0.2	0.446	0.339	0.214
Mouth	180	Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Gardnerella.unknown.asv_8691	TRUE	0.924	0.133	0.349	0.524	0.127
Mouth	180	Bacteroidetes.Bacteroidia.Bacteroidales.[Paraprevotellaceae].[Prevotella].unknown.asv_3069	FALSE	0.916	0.156	0.358	0.492	0.151
Mouth	180	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.fragilis.asv_684	TRUE	0.894	0.133	0.312	0.629	0.059
Mouth	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.unknown.asv_403	TRUE	0.838	0.111	0.394	0.379	0.227
Mouth	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.melaninogenica.asv_260	TRUE	0.814	0.667	0.384	0.375	0.241
Mouth	180	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.nanceiensis.asv_683	FALSE	0.859	0.556	0.41	0.376	0.214
Mouth	180	Bacteroidetes.Bacteroidia.Bacteroidales.S24-7.unknown.unknown.asv_8608	FALSE	0.951	0.178	0.366	0.52	0.114
Mouth	180	Bacteroidetes.Flavobacteriia.Flavobacteriales.[Weeksellaceae].unknown.unknown.asv_103	FALSE	0.813	0.4	0.295	0.62	0.085
Mouth	180	Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Alloiococcus.unknown.asv_283	FALSE	0.818	0.422	0.404	0.361	0.235
Mouth	180	Firmicutes.Clostridia.Clostridiales.[Mogibacteriaceae].Mogibacterium.unknown.asv_917	FALSE	0.853	0.133	0.309	0.585	0.106
Mouth	180	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Finegoldia.unknown.asv_22	TRUE	0.81	0.356	0.304	0.558	0.139
Mouth	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.[Ruminococcus].gnavus.asv_616	FALSE	0.982	0.156	0.493	0.413	0.094
Mouth	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Catonella.unknown.asv_913	FALSE	0.922	0.111	0.328	0.593	0.079
Mouth	180	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoanaerobaculum.orale.asv_721	FALSE	0.917	0.378	0.372	0.465	0.163
Mouth	180	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.unknown.asv_21097	FALSE	0.887	0.156	0.339	0.505	0.156
Mouth	180	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Allobaculum.unknown.asv_13292	FALSE	0.893	0.156	0.352	0.479	0.169
Mouth	180	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Bulleidia.moorei.asv_554	FALSE	0.921	0.244	0.378	0.458	0.164
Mouth	180	Fusobacteria.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.unknown.unknown.asv_9077	FALSE	0.85	0.4	0.163	0.027	0.81
Mouth	180	Fusobacteria.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.Leptotrichia.unknown.asv_923	FALSE	0.808	0.133	0.293	0.629	0.078
Mouth	180	Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingobium.xenophagum.asv_1165	TRUE	0.874	0.178	0.456	0.355	0.189
Mouth	180	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.unknown.unknown.asv_72	FALSE	0.959	0.133	0.51	0.376	0.114
Mouth	180	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.unknown.asv_270	FALSE	0.926	0.111	0.332	0.582	0.086
