	formula	min_features	batch_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	model	best
184	"C(birth_mode_ms, Treatment(""Vag"")) + country"	14	56	0.25	935.4291259765625	961.0399475097656	0.02664907072756495	Baby-Feces	30.0	TP-model-w-country	
185	"C(birth_mode_ms, Treatment(""Vag"")) + country"	14	56	0.5	935.4292114257812	961.0399475097656	0.026648981814280104	Baby-Feces	30.0	TP-model-w-country	
188	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	28	0.25	512.4035888671875	529.9031188964843	0.03302401779732744	Baby-Feces	30.0	TP-model-w-country	Yes
189	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	28	0.5	512.4038330078125	529.9031372070312	0.033023590483824194	Baby-Feces	30.0	TP-model-w-country	
190	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	56	0.25	538.1815063476563	559.1120727539062	0.03743536837463801	Baby-Feces	30.0	TP-model-w-country	
191	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	56	0.5	538.1817626953125	559.1120361328125	0.03743484683725917	Baby-Feces	30.0	TP-model-w-country	
192	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	17	0.25	52.39523544311523	54.56285629272461	0.03972704137738492	Baby-Forearm	120.0	TP-model-w-country	
193	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	17	0.5	52.39483871459961	54.562852478027345	0.03973424527797198	Baby-Forearm	120.0	TP-model-w-country	
194	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	0.25	30.993684196472167	40.4388973236084	0.2335675241476498	Baby-Forearm	120.0	TP-model-w-country	Yes
195	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	0.5	30.99466209411621	40.43999099731445	0.23356407037344518	Baby-Forearm	120.0	TP-model-w-country	
196	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	8	0.25	44.18764533996582	49.34873733520508	0.10458407395881575	Baby-Forearm	120.0	TP-model-w-country	
197	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	8	0.5	44.19010353088379	49.34886436462402	0.10453656634575592	Baby-Forearm	120.0	TP-model-w-country	
198	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	17	0.25	88.24440689086914	89.5370002746582	0.014436416004824482	Baby-Forearm	120.0	TP-model-w-country	
199	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	17	0.5	88.24392776489258	89.53699798583985	0.014441741961817467	Baby-Forearm	120.0	TP-model-w-country	
200	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	0.25	50.554758071899414	58.80312576293945	0.14027090539868126	Baby-Forearm	120.0	TP-model-w-country	
201	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	0.5	50.56078567504883	58.804365921020505	0.14018653405843262	Baby-Forearm	120.0	TP-model-w-country	
